,blockNumber,erc20CoinTotalSupply,globalDebt,marketPriceEth,marketPriceUsd,redemptionPrice,timestamp,redemptionPriceActual,redemptionRateActual
47,11874166,285943.0304909943,286899.1289106504,0.0017194596142441352,3.1118873915745833,"{'block': '11874001', 'id': '0x0052f54db21cad0f39d6a93dc3cb86710a2eba5f45f92a01bb6674e203c67243-243', 'redemptionRate': '0.999999999995517810637933345', 'value': '3.139997800189848766216163966'}",1613562053,3.1399978001898488,0.9999999999955178
48,11874355,285943.0304909943,286900.7426117338,0.0017194596142441352,3.1118873915745833,"{'block': '11874283', 'id': '0x450f8be95f039f977246fb49aec32e9686518b74427492f7c75d1c465f4bc669-101', 'redemptionRate': '0.99999999999640386786719528', 'value': '3.139997754683706164484732585'}",1613564775,3.1399977546837063,0.9999999999964039
49,11874737,387543.0304909943,388502.076898369,0.0017445635050906544,3.1978023504662207,"{'block': '11874533', 'id': '0xa009cc3d49ddcc0d0c240e1269673ee8515078ea65d50d7f7f930592ef7120b5-291', 'redemptionRate': '0.99999999999640386786719528', 'value': '3.139997713445881839237659705'}",1613569901,3.1399977134458816,0.9999999999964039
50,11874799,421343.0304909943,422302.4080881381,0.0019431527307820998,3.536287020572997,"{'block': '11874533', 'id': '0xa009cc3d49ddcc0d0c240e1269673ee8515078ea65d50d7f7f930592ef7120b5-291', 'redemptionRate': '0.99999999999640386786719528', 'value': '3.139997713445881839237659705'}",1613570872,3.1399977134458816,0.9999999999964039
51,11875033,1951543.1184909942,1952505.9243920343,0.0018221540838005731,3.316085109498592,"{'block': '11874799', 'id': '0x61da7aa17a5631d6862e18e0f263ff706c02cabdad8cb692018ad75cb6506a14-158', 'redemptionRate': '0.99999999999640386786719528', 'value': '3.13999767346145302020391289'}",1613574058,3.139997673461453,0.9999999999964039
52,11875301,2238042.196389515,2239009.564165635,0.0018041459046079882,3.2723807753370244,"{'block': '11875281', 'id': '0x16d7da35b16a78991ecaadfe920852cdae56c0f677dd1f76634999cb0a17cbde-43', 'redemptionRate': '0.999999999998537864019672871', 'value': '3.139997599951532967196674491'}",1613577613,3.139997599951533,0.9999999999985378
53,11875602,2617859.195338348,2618832.1544408207,0.0018349419420148896,3.328238985313008,"{'block': '11875331', 'id': '0xb3aee073845f8c45686b440cf12a15e3998d4ab84d1a54ede0877c603ce04da6-244', 'redemptionRate': '0.999999999998537864019672871', 'value': '3.13999759671021391973210305'}",1613581235,3.139997596710214,0.9999999999985378
54,11875858,2924629.1942718583,2925608.3968013637,0.0019588139396576683,3.5521278098302695,"{'block': '11875635', 'id': '0xfe6735f19686bbea39e80b4e0b433a79bf8952a0c9dc58b5f6b418daf735e67b-246', 'redemptionRate': '0.999999999998537864019672871', 'value': '3.139997580251108043375167375'}",1613584931,3.139997580251108,0.9999999999985378
55,11876130,3803579.193051148,3804566.42889216,0.0019301918424869406,3.511926151649714,"{'block': '11875903', 'id': '0x91a35d276c68a2ce93e6be23a00f7cde5fe4677edf496c5800a574efb0c4aac1-156', 'redemptionRate': '0.999999999998537864019672871', 'value': '3.139997563006923569227115202'}",1613588439,3.1399975630069235,0.9999999999985378
56,11876427,3874279.1879520463,3875275.4291081107,0.0018918121016140352,3.445102854556243,"{'block': '11876187', 'id': '0x382f4391c79d1ba3e8bfc39f634fddc2427a93dc600e06e1c54b8a7457d7bf0d-435', 'redemptionRate': '0.999999999998537864019672871', 'value': '3.139997545960156635548066816'}",1613592287,3.139997545960157,0.9999999999985378
57,11876729,3986492.1879520463,3987497.545660944,0.0019627042428776746,3.6053140978238853,"{'block': '11876460', 'id': '0x266789d76f626f343cd7d8fb4ece7c3839721e786752d4258cc4cfa78f68639d-78', 'redemptionRate': '0.999999999998981201780206326', 'value': '3.13999752978110833055064599'}",1613596021,3.1399975297811085,0.9999999999989811
58,11876942,4520292.185287185,4521306.191992735,0.0017934379542244264,3.2824577500987986,"{'block': '11876736', 'id': '0x9099afbf6511fc5337b4af2277fbe00f69021147c72045fe63230a4f34366bc4-256', 'redemptionRate': '0.999999999998981201780206326', 'value': '3.139997518776466156197344917'}",1613599267,3.139997518776466,0.9999999999989811
59,11877233,4642410.185287185,4643435.679623102,0.0017321891789495428,3.2060544253628023,"{'block': '11876974', 'id': '0x29460dbb5625792c4e55ec07989694862177e49b905bd3bcdf39ce2cf81b8b32-206', 'redemptionRate': '0.999999999998981201780206326', 'value': '3.139997507349552869457981437'}",1613603125,3.1399975073495527,0.9999999999989811
60,11877510,4754063.494588526,4755100.64966528,0.0018586508900336352,3.4271045586497135,"{'block': '11877256', 'id': '0x5e91e682a7acebb9c4666bc61fe5face1533331ec20fe62416057f1d5e9b08d7-230', 'redemptionRate': '0.999999999998981201780206326', 'value': '3.139997495487572379508406153'}",1613606864,3.1399974954875725,0.9999999999989811
61,11877762,4861963.494588526,4863010.2574606305,0.0018357493057913157,3.4144416133089655,"{'block': '11877587', 'id': '0x43ead3d56017e21f5f8e4d16ebe845a7cc2a6a4d941f8fc1583b7cd0b8f4e7e8-154', 'redemptionRate': '0.999999999998905758522148793', 'value': '3.139997480864834356074753457'}",1613610225,3.1399974808648343,0.9999999999989058
62,11878006,4772397.663054045,4773454.684271709,0.0019437326829275278,3.6683170404625995,"{'block': '11877777', 'id': '0xd3a55bee929ec6261e5ecb7c2e3cc849cbd43e5086c84dfc423c1ee1124e1537-82', 'redemptionRate': '0.999999999998905758522148793', 'value': '3.139997472199455517604291602'}",1613613693,3.1399974721994557,0.9999999999989058
63,11878291,4939597.661079181,4940666.164171083,0.0017843486233161798,3.397350123173247,"{'block': '11878032', 'id': '0x9f861026927fa6b47ec2dbae12d7e68d1c1459906241445308d37f8223341bb6-238', 'redemptionRate': '0.999999999998905758522148793', 'value': '3.13999745977174927118292317'}",1613617421,3.1399974597717493,0.9999999999989058
64,11878565,5141197.661079181,5142277.609261624,0.0017354042197062036,3.286046494336531,"{'block': '11878562', 'id': '0xe457700315013abd64766f8c6d708fefd71aeb6893eec0f01b4e2ca01200322f-35', 'redemptionRate': '0.999999999998905758522148793', 'value': '3.139997435084696782154542569'}",1613621304,3.139997435084697,0.9999999999989058
65,11878825,5302397.661079181,5303489.570848829,0.0019283398866400186,3.64987670362108,"{'block': '11878718', 'id': '0x4bf05bdb685fef0f0784d0f2ddb4d495dc575e6d25f0e2468370e9d199c489f0-190', 'redemptionRate': '0.999999999998673100733027874', 'value': '3.139997428075429304989134378'}",1613624608,3.1399974280754295,0.9999999999986731
66,11879089,5450697.640689411,5451801.008024906,0.0020026065579883553,3.80883115654184,"{'block': '11878849', 'id': '0xf8c444eb982b95a4fcd838f34db008f4638ca5a8569817ab03dc4d82acfb3147-101', 'redemptionRate': '0.999999999998673100733027874', 'value': '3.139997421563251885333005511'}",1613628000,3.139997421563252,0.9999999999986731
67,11879353,5501897.639672332,5503014.027929558,0.0020291806986925667,3.85201986674753,"{'block': '11879171', 'id': '0x4837ba0c5d020747bf56ecd1ba342131799a11c7d272024b8a3cc25b11d36a6b-77', 'redemptionRate': '0.999999999998673100733027874', 'value': '3.139997402830846535954868835'}",1613631734,3.1399974028308466,0.9999999999986731
68,11879623,5644697.639672332,5645824.635726181,0.0018760046650946023,3.5612438284631547,"{'block': '11879417', 'id': '0xd69f01fadb9294e04ad86a98d41c6a97dc83ed5d1b8454839c49e1b82609186f-188', 'redemptionRate': '0.999999999998673100733027874', 'value': '3.139997389764827212512141245'}",1613635551,3.1399973897648272,0.9999999999986731
69,11879905,5690797.606977738,5691939.328994228,0.0019237157360179854,3.649019431023076,"{'block': '11879901', 'id': '0x507cba98a18bc2bece1c587da32f1169973f6e022dd59ca82546b07a9d98eed0-127', 'redemptionRate': '0.999999999998100020773320161', 'value': '3.13999735979740155957306723'}",1613639388,3.1399973597974014,0.9999999999981001
70,11880181,6131247.57520449,6132402.70737597,0.0019581960912128777,3.722648261161153,"{'block': '11879901', 'id': '0x507cba98a18bc2bece1c587da32f1169973f6e022dd59ca82546b07a9d98eed0-127', 'redemptionRate': '0.999999999998100020773320161', 'value': '3.13999735979740155957306723'}",1613642874,3.1399973597974014,0.9999999999981001
71,11880436,6206480.262370011,6207649.126990116,0.0020360052996484758,3.8705682349497317,"{'block': '11880184', 'id': '0x60d0cbbdb0491dc2ca3e1581f546a916b7a278bc3a8c58a0cedf7bc39e07816d-213', 'redemptionRate': '0.999999999998100020773320161', 'value': '3.139997338660112507156926294'}",1613646086,3.1399973386601125,0.9999999999981001
72,11880712,6445213.948378443,6446395.860238977,0.0018369654295456689,3.512051709143273,"{'block': '11880476', 'id': '0x83fb945f3ad538a305c0a8966a71b6b1a575165a19de07c182ba9092f98cdcd5-234', 'redemptionRate': '0.999999999998100020773320161', 'value': '3.139997317272254550683678581'}",1613649620,3.1399973172722544,0.9999999999981001
73,11881046,6720090.83365027,6721289.597962333,0.001872770140099418,3.5358836630147064,"{'block': '11880757', 'id': '0x3c4ee437e147537f95b014df59b4be6a5e42a32cc1e46d0ce1316e6b5d17d99e-260', 'redemptionRate': '0.999999999998100020773320161', 'value': '3.139997295842635232454391528'}",1613653754,3.1399972958426354,0.9999999999981001
74,11881288,6891085.83365027,6892298.653880344,0.001832112957346067,3.4825902361008447,"{'block': '11881055', 'id': '0x52a3495cd7aa13e0ec762a34ec483ff2e5e1caaf25efadaa9ecc736f74e19efd-200', 'redemptionRate': '0.99999998276375975245403553', 'value': '3.139997273231762001240663435'}",1613656868,3.139997273231762,0.9999999827637598
75,11881530,6966085.83365027,6967313.658412925,0.0017969878479356946,3.4426015543939097,"{'block': '11881328', 'id': '0xa0adac189fb2da5f3c45bed1167662933e51f17ac4caf1e73e6daf2809b8e9da-187', 'redemptionRate': '0.99999998276375975245403553', 'value': '3.139799951539362293004553979'}",1613660449,3.1397999515393624,0.9999999827637598
76,11881823,7135374.328457666,7136616.52388924,0.0017983721577389698,3.4482533798699397,"{'block': '11881816', 'id': '0x602d349b7e4d1862af52de5a4df40e7ebbd1510e25cc9c9887ffe38f33cc6e9b-227', 'redemptionRate': '0.99999998276375975245403553', 'value': '3.139423256326237886357669899'}",1613664570,3.139423256326238,0.9999999827637598
